Month,Day,Hour,Reported_Location,Latitude,Longitude,weekend?_Weekday,weekend?_Weekend
1,2,3,E 13TH & INDIANA,39.175504,-86.527104,1,0
1,2,10,WEST 2ND,39.16122743,-86.51884571,1,0
1,5,7,W BEECH & W WOODLAND,39.208544,-86.591504,1,0
1,2,15,W SR 45,39.2512,-86.652504,1,0
1,2,17,SR37S & W VERNAL,39.17662048,-86.56252288,1,0
1,2,16,BLOOMFIELD & LANDMARK,39.15993981,-86.55382007,1,0
1,3,18,SR37S & VICTOR,39.105552,-86.551104,1,0
1,3,0,OLD STATE ROAD 37 & ORCHARD,39.11584,-86.5312,1,0
1,1,9,FRIENDSHIP & SR46,39.15149145,-86.40317983,0,1
1,1,13,SO KINGSTON,39.16742706,-86.49314117,0,1
1,6,10,7TH & GRANT,39.16864,-86.529696,1,0
1,7,15,BLOOMFIELD & CORY,39.157248,-86.559792,0,1
1,7,18,KIRKWOOD & MADISON,39.166656,-86.537296,0,1
1,7,19,S WALNUT,39.14705763,-86.53257665,0,1
1,7,23,SR37S & WAYSIDE,39.10921097,-86.53382873,0,1
1,6,13,VERNAL,39.176544,-86.5624,1,0
2,1,1,JEFFERSON & TENTH,39.17145984,-86.50680459,0,1
1,7,17,9TH & COLLEGE,39.170544,-86.534768,0,1
2,1,11,NORTH WALNUT,39.19396833,-86.53335146,0,1
1,7,19,EAST RHORER & SOUTH WALNUT STREET,39.12144,-86.526496,0,1
2,1,15,ATWATER & JORDAN,39.163168,-86.516384,0,1
2,1,18,SR45E,39.21936967,-86.44920774,0,1
1,7,18,HARRODSBURG & W POPCORN,38.85405138,-86.54503986,0,1
1,7,3,E CHAMBERS & SR37,39.30651541,-86.51481628,0,1
2,2,9,1425 S CURRY & GIFFORD,39.156896,-86.582704,1,0
2,2,10,BUICK CADILLAC & COLLEGE MALL,39.15816,-86.497792,1,0
2,2,9,E COVENANTER & S CLARIZZ,39.15462032,-86.49176401,1,0
2,2,12,11TH & VERNAL,39.17323818,-86.55512325,1,0
2,2,15,2ND & LINCOLN,39.16144,-86.531056,1,0
2,2,11,ATWATER & HAWTHORNE,39.16309007,-86.52020998,1,0
2,3,9,KIMBLE & W 3RD,39.16464,-86.568,1,0
2,3,9,E WINSLOW & S WALNUT,39.136144,-86.528688,1,0
2,3,9,SOUTH MULLER,39.16180998,-86.56743228,1,0
2,3,14,CONSTITUTION & LIBERTY,39.149552,-86.575936,1,0
2,3,15,S COLLEGE MALL,39.16394547,-86.49833535,1,0
2,3,16,10TH & UNION,39.171472,-86.509376,1,0
2,3,16,NORTH WILLIS & WESTFIELD,39.18056,-86.543968,1,0
2,3,14,S MONROE MEDICAL PARK,39.156144,-86.521648,1,0
2,3,17,17TH & FESS,39.179008,-86.525888,1,0
2,3,17,N CURRY & W VERNAL,39.179248,-86.5832,1,0
2,3,17,2400 S WALNUT & S WALNUT ST,39.16664,-86.5336,1,0
2,3,19,LONGVIEW & PETE ELLIS,39.166944,-86.495056,1,0
2,3,16,10TH & COLLEGE,39.171744,-86.534768,1,0
2,4,3,S COPPER BEACH,39.15620685,-86.56997233,1,0
2,4,11,EAST ATWATER & HAWTHORNE,39.163232,-86.520176,1,0
2,4,12,DECKARD & SR45,39.173648,-86.481888,1,0
2,3,13,E WOODVIEW & SR46E,39.152,-86.3812,1,0
2,4,13,JORDAN & LAW,39.173552,-86.515488,1,0
2,4,13,MILO B SAMPSON & SR46E,39.18907166,-86.52171325,1,0
1,5,20,FORREST PARK DR & SR46E,39.21205902,-86.58701324,1,0
2,3,20,W STATE ROAD 46,39.2512,-86.652504,1,0
2,4,15,SALE & SR46,39.23414396,-86.62434641,1,0
2,2,12,DUNN & SR46E,39.186352,-86.528496,1,0
2,2,16,17TH & WALNUT GROVE,39.17896861,-86.52179368,1,0
2,4,13,SR446S & WALDRIP,39.06173282,-86.41444601,1,0
2,3,7,W GOURLEY,39.185232,-86.54060206,1,0
2,7,13,SR45W,39.125312,-86.610496,0,1
2,2,8,FOXWOOD,39.09659958,-86.52765655,1,0
2,2,10,POPCORN & ROCKPORT,39.00366138,-86.58485006,1,0
2,2,11,3RD & HAWTHORNE,39.16425012,-86.52009644,1,0
2,3,6,E GENTRY & SR446S,39.15744,-86.471456,1,0
2,3,11,E COTTAGE & FORREST,39.17264,-86.522432,1,0
2,3,13,E 3RD,39.164465,-86.54881114,1,0
2,6,14,S COLLEGE MALL,39.15412578,-86.49786768,1,0
2,3,17,ATWATER & JORDAN,39.16307055,-86.51640172,1,0
2,3,14,I69S & TAPP,39.13652039,-86.55490112,1,0
2,3,18,3RD,39.16471431,-86.57198258,1,0
2,3,18,E 7TH & N FORREST,39.16846991,-86.52233241,1,0
2,3,16,E 3RD & S JORDAN,39.16426018,-86.51639644,1,0
2,3,13,3RD,39.164752,-86.573104,1,0
2,3,11,BUICK CADILLAC & COLLEGE MALL,39.15816,-86.497792,1,0
2,4,13,ANDY & CANTLIN,39.20146979,-86.58952027,1,0
2,3,14,GILHAM & SR45W,39.12619019,-86.61423768,1,0
2,6,13,N HARTSTRAIT,39.19372177,-86.61161804,1,0
2,4,12,THIRD & WOODLAWN,39.16426449,-86.5226336,1,0
2,4,10,FULLERTON & SR37,39.12221377,-86.57112747,1,0
2,4,9,S ROGERS & W GORDON,39.12156008,-86.53915978,1,0
2,4,14,2ND & WALKER,39.16142978,-86.54615754,1,0
2,3,16,S ROCKPORT & W ROCKEAST,39.56294552,-86.61335974,1,0
2,4,16,W 3RD,39.164848,-86.57961274,1,0
2,4,12,ATWATER & JORDAN,39.163168,-86.516384,1,0
2,4,10,N MORTON,39.173216,-86.536,1,0
2,4,15,S CORY & W 3RD,39.164544,-86.560096,1,0
2,5,6,17TH & COLLEGE,39.17896,-86.53472,1,0
2,4,12,E 8TH & N FESS,39.1696,-86.525712,1,0
2,5,11,ATWATER & HENDERSON,39.163344,-86.5272,1,0
2,5,8,DILLMAN ROAD & SR37S,39.092976,-86.545648,1,0
2,3,20,LODGE & ROCKPORT,39.07883089,-86.59434062,1,0
2,5,16,HUNTER & WOODLAWN,39.18335789,-86.52263,1,0
2,5,15,HARTSTRAIT & SR46W,39.20619965,-86.61134338,1,0
2,5,17,DUNN & SR46,39.18629,-86.52800767,1,0
2,5,17,FESS & THIRD,39.164448,-86.525792,1,0
2,2,21,MT CARMEL & NORTH COUNTY LINE,39.296352,-86.684896,1,0
2,4,15,SR45W & STANFORD,39.09012095,-86.66591732,1,0
2,5,18,SR45W,39.125312,-86.610496,1,0
2,5,16,CLEAR CREEK & S COLLEGE,39.111152,-86.5348,1,0
2,4,14,S CURRY & SR45W,39.142048,-86.582592,1,0
2,4,16,S OLD STATE ROAD 37,39.137088,-86.53056,1,0
2,5,20,S OLD SR 37,39.137088,-86.53056,1,0
2,5,12,3RD & LIBERTY,39.11173798,-86.57913006,1,0
2,6,7,KIRKWOOD & WALNUT,39.16664,-86.53338831,1,0
2,6,8,E 10TH & N INDIANA,39.17168,-86.527024,1,0
2,6,9,S ROGERS & W DODDS,39.157616,-86.538592,1,0
2,6,12,E 3RD & S JEFFERSON,39.164304,-86.506992,1,0
2,6,13,GRAHAM & ROGERS,39.13992,-86.538416,1,0
2,6,13,EAST 3RD & SR46E,39.16619049,-86.46728758,1,0
2,6,14,E 7TH & N FORREST,39.16846653,-86.52117709,1,0
2,6,17,WALNUT,39.18650045,-86.53435337,1,0
2,6,17,FEE & SR45W,39.186032,-86.51984,1,0
2,6,17,NORTH WALNUT & SR46,39.18716267,-86.53412019,1,0
2,6,15,SOUTH OAKDALE & SR45E,39.14976538,-86.56883016,1,0
2,6,4,N JENNER & N MT TABOR,39.32758974,-86.62634029,1,0
2,6,4,N KINSER,39.18584,-86.537872,1,0
2,6,12,S HENDERSTON,39.13727951,-86.5280075,1,0
2,7,8,1ST & COLLEGE,39.15944,-86.53488,0,1
2,7,8,2300 BLK VERNAL & LEMON,39.17693733,-86.55863439,0,1
2,7,11,E CEDARWOOD,39.162352,-86.465488,0,1
2,7,11,N WALNUT & SR4546W,39.186368,-86.5344,0,1
2,7,13,NORTH KINSER,39.187124,-86.53782337,0,1
2,7,12,3585 W BLOOMFIELD & BLOOMFIELD,39.148144,-86.572992,0,1
2,6,12,FEE & LAW,39.173787,-86.51716386,1,0
2,7,15,6TH & LINCOLN,39.16768436,-86.53081568,0,1
2,6,16,BURMA & SR37N,39.31185648,-86.5127544,1,0
2,7,16,S ROLLING RIDGE,39.133744,-86.50592,0,1
2,7,19,E BUICK CADILLAC,39.15825796,-86.49702465,0,1
2,6,16,FULLERTON & SR 37,39.12201105,-86.5709031,1,0
2,7,21,SR 37 & SR46W,39.30670166,-86.5161972,0,1
3,1,0,COLLEGE MALL & SR46E,39.16424,-86.4984,0,1
2,7,21,ALLEN & PATTERSON,39.15563017,-86.54330983,0,1
3,1,2,E 10TH & N JORDAN,39.171552,-86.515728,0,1
3,1,3,E 1OTH,39.17275989,-86.50468596,0,1
3,1,1,E 7TH & N SUNRISE,39.16853026,-86.51242017,0,1
2,4,14,S LEONARD SPRINGS,39.133808,-86.58258358,1,0
3,1,9,E 3RD,39.16464,-86.53211918,0,1
2,7,21,S KIRBY & SR48W,39.16504,-86.610704,0,1
3,1,14,E ROGERS & SNODDY,39.13576,-86.489488,0,1
3,1,16,S COLLEGE MALL,39.15412578,-86.49786768,0,1
3,1,15,S COLLEGE,39.16115717,-86.53485253,0,1
3,1,22,1ST & ROGERS,39.159504,-86.538592,1,0
3,1,23,ROSE,39.1662177,-86.51097988,1,0
2,6,11,SR37N & VICTOR,39.09431839,-86.55906677,1,0
3,2,9,DYER & N BLAIR,39.17529009,-86.54432974,1,0
3,2,8,RATLIFF & THOMAS,39.21519851,-86.63041195,1,0
3,2,11,E VARSITY,39.182975,-86.529121,1,0
3,2,14,10TH & FEE,39.17158912,-86.51939366,1,0
3,2,15,E LAW & FEE,39.17392294,-86.51845431,1,0
3,1,22,10TH & UNION,39.171472,-86.509376,1,0
3,2,19,E 10TH,39.17157747,-86.51808392,1,0
3,2,18,17TH & WOODBURN,39.178976,-86.536032,1,0
3,2,18,S KINGSTON,39.16655822,-86.492816,1,0
3,2,17,ACUFF & SR37,39.20824,-86.554704,1,0
3,2,14,S LIBERTY,39.145264,-86.577616,1,0
3,2,18,RHORER & S OLD ST RD 37,39.12141994,-86.53134986,1,0
3,2,10,S LANDMARK,39.1593799,-86.5537101,1,0
3,1,17,15TH & NORTH WALNUT,39.176848,-86.533424,0,1
3,2,16,E MONROE DAM & SR37S,39.01996772,-86.53611979,1,0
3,2,17,FRANKLIN & WEST THIRD,39.164688,-86.5712,1,0
3,2,19,EAST THIRD & PARK RIDGE,39.16424,-86.476096,1,0
3,2,12,COLLEGE & KIRKWOOD,39.16664,-86.53444718,1,0
3,3,8,N JACKSON & W 17TH,39.179024,-86.539616,1,0
3,7,11,3RD,39.16424,-86.49307941,0,1
3,7,13,HIGHLAND & THIRD,39.16426229,-86.51775641,0,1
3,7,15,E 10TH & FORREST,39.17163022,-86.52237989,0,1
3,7,18,SR46E & WALNUT,39.186368,-86.5344,0,1
3,7,17,CHAMBERS & SR37N,39.30947257,-86.51445927,0,1
3,6,10,LEONARD SPRINGS,39.14107513,-86.58297729,1,0
3,7,11,W WAMPLER,39.33501622,-86.59342205,0,1
3,1,16,PETE ELLIS & SR46E,39.16424,-86.495088,0,1
3,1,14,S WALNUT,39.12392521,-86.52665691,0,1
3,5,11,SR37 & VERNAL,39.17645167,-86.56253061,1,0
3,2,1,KIRKWOOD & WALNUT,39.16658486,-86.5336078,1,0
3,1,23,E 3RD,39.16456,-86.5550845,1,0
3,6,16,N FEE,39.17612549,-86.51898236,1,0
3,2,8,17TH & FEE,39.1789307,-86.51916841,1,0
3,2,11,PATTERSON & S ROGERS,39.15379018,-86.53875008,1,0
3,2,14,NORTH FAIRVIEW & WEST KIRKWOOD,39.166704,-86.5408,1,0
3,7,18,TENTH & UNION,39.17135171,-86.50945074,0,1
3,2,16,SR37 & SR45W,39.148144,-86.572992,1,0
3,2,17,E ATWATER,39.16335678,-86.51499176,1,0
3,2,12,SOUTH FESS,39.16406237,-86.52593381,1,0
3,2,17,JORDAN & LINGELBACH,39.17714755,-86.51252555,1,0
3,1,22,N HARTSTRAIT & W MAJESTIC WOODS,39.2458553,-86.61127969,1,0
3,2,12,3RD & KINGSTON,39.16424,-86.492944,1,0
3,2,13,S WEIMER & W WAPEHANI,39.142608,-86.562048,1,0
3,2,14,17TH & N WOODLAWN,39.178992,-86.523504,1,0
1,5,7,WALNUT & WINSLOW,39.13597025,-86.53111846,1,0
2,6,14,CURRY & VERNAL,39.17650909,-86.58312857,1,0
2,7,13,SR37S & TAPP,39.13704,-86.572896,0,1
3,3,9,S PATTERSON & W 3RD,39.16344009,-86.55128002,1,0
3,3,12,PATTERSON,39.16217342,-86.54991075,1,0
3,3,15,LIBERTY & SR45,39.14596012,-86.57747102,1,0
3,3,17,S WASHINGTON,39.1710031,-86.5324,1,0
3,3,18,SR37N & WEST VERNAL,39.17580534,-86.56344483,1,0
3,3,17,E THIRD,39.0803299,-86.51473999,1,0
3,3,17,N DUNN,39.180352,-86.5284,1,0
3,3,21,FESS & THIRD,39.16427777,-86.52588752,1,0
3,3,12,S LIBERTY & W 3RD,39.16461021,-86.57913006,1,0
3,3,12,DANIELS,39.16671172,-86.59908838,1,0
3,7,10,37 & GORDON,39.73761023,-86.274728,0,1
3,3,8,DILLMAN & SR37,39.09023917,-86.54535097,1,0
3,3,22,400 W TERRACE & S ROGERS,39.127616,-86.538688,1,0
3,4,12,E 3RD,39.16443758,-86.54775367,1,0
3,4,16,NORTH DUNN & TAMARACK,39.25556115,-86.52857981,1,0
3,4,14,N COLLEGE & W 7TH,39.16697343,-86.5348602,1,0
3,4,19,10TH & SUNRISE,39.17157993,-86.5124885,1,0
3,4,17,CHANDLER & SR46W,39.23506165,-86.61779785,1,0
3,4,15,N DANIELS,39.16671172,-86.59908838,1,0
3,4,18,INDRUSTRIAL & SR45W,39.14359867,-86.58030842,1,0
3,4,18,SUGAR MAPLE,39.15650725,-86.58816576,1,0
3,1,0,SR46S & THIRD,39.16424006,-86.49827018,0,1
3,5,11,E 13TH & N INDIANA,39.175504,-86.527104,1,0
3,4,18,BASSWOOD & BLOOMFIELD,39.14978027,-86.56889006,1,0
3,7,10,3RD & LIBERTY,38.95312131,-86.57913006,0,1
3,5,12,WALNUT,39.17839758,-86.53339992,1,0
3,5,15,BRYANTS CREEK & SR37,39.33676612,-86.51067628,1,0
3,5,12,S BUCKNER,39.16409502,-86.54457045,1,0
3,5,17,7TH & LINCOLN,39.16864,-86.53125663,1,0
3,5,17,LEGACY & MOUNT TABOR,39.26170215,-86.62624977,1,0
3,5,19,BURMA,39.141616,-86.542032,1,0
3,7,3,1ST & GRANT,39.177776,-86.5296,0,1
3,6,7,SR45 & SR46,39.14511871,-86.57756805,1,0
3,5,18,E GRAHAM,39.13994939,-86.53920947,1,0
3,6,9,FOX HOLLOW & SR37,39.28922813,-86.51836149,1,0
3,3,20,W 7TH,39.168848,-86.55378253,1,0
3,6,7,DODDS & WASHINGTON,39.15738031,-86.53243012,1,0
3,6,10,E RHORER & S WALNUT ST,39.12144,-86.526496,1,0
3,6,8,S ROGERS,39.16152,-86.538592,1,0
3,6,13,HENDERSON & WINSLOW,39.136144,-86.52662367,1,0
3,4,18,RITTER & SALE,39.232048,-86.627296,1,0
3,6,14,13TH & INDIANA,39.175504,-86.527104,1,0
3,6,16,EAST 3RD,39.16464,-86.5324,1,0
3,5,20,S ROCKPORT & SR37S,39.11664474,-86.5659002,1,0
3,6,17,3RD & WOODLAWN,39.16438374,-86.52364965,1,0
3,5,22,NORTH MAPLE & WEST 15TH,39.17664,-86.542096,1,0
3,6,23,WALNUT,39.16464,-86.5336,0,1
3,6,17,N DUNN & SR4546E,39.186352,-86.528496,1,0
3,5,13,FLATWOODS & SR46W,39.25347374,-86.65441007,1,0
3,7,14,N MADISON & W 17TH,39.178992,-86.537792,0,1
3,7,20,SWAIN & THIRD,39.16425012,-86.51525996,0,1
3,7,21,S WALNUT STREET,39.13656457,-86.52910857,0,1
3,7,18,N PETE ELLIS,39.16743,-86.495047,0,1
3,1,9,SR37N & WAYPORT,39.25917759,-86.52426508,0,1
3,1,11,WALNUT ST & WINSLOW,39.136144,-86.528688,0,1
3,1,11,N GATES & W JONATHON,39.16876025,-86.57641969,0,1
3,1,12,EAST THIRD,39.16548157,-86.4972763,0,1
3,5,17,E RHORER,39.12152,-86.51176139,1,0
3,5,20,WALCOTT & WOODYARD,39.20263934,-86.60293007,1,0
